node	type
vincristine	drug
ursodiol	drug
trimethoprim	drug
trazodone	drug
sodium-salicylate	drug
ruxolitinib	drug
rupatadine	drug
Reteplase	drug
r(-)-apomorphine	drug
prazosin	drug
Phenazopyridine	drug
penicillin-v-potassium	drug
pantoprazole	drug
ofloxacin	drug
niacin	drug
minocycline	drug
miglitol	drug
methyldopa	drug
Levorphanol	drug
levetiracetam	drug
L-Histidine	drug
icosapent	drug
Hydromorphone	drug
glucosamine	drug
gemfibrozil	drug
esomeprazole	drug
edrophonium	drug
doxofylline	drug
dorzolamide	drug
diphemanil	drug
diflunisal	drug
dacarbazine	drug
cyproheptadine	drug
clinofibrate	drug
ciclopirox	drug
Arformoterol	drug
Anakinra	drug
amoxicillin	drug
adiphenine	drug
Adenocarcinoma	drug
Acetohydroxamic Acid	drug
Wilm's tumor	disease
Urinary tract infection	disease
Gingivostomatitis	disease
gingivitis	disease
Epileptic drop attack	disease
Endometrial Carcinoma	disease
Dyspnea	disease
"Dermatitis, Allergic Contact"	disease
cardiac arrest	disease
attention-deficit/hyperactivity disorder (ADHD)	disease
sitosterolemia	disease
pneumonia	disease
Optic Neuritis	disease
neuroblastoma	disease
Lung diseases	disease
Iridocyclitis	disease
hypocalcemia	disease
hypertriglyceridemia	disease
Hyperbilirubinemia	disease
ZDHHC9	gene
ZBTB24	gene
ZAP70	gene
YAP1	gene
WT1	gene
WIPF1	gene
WAS	gene
VTI1A	gene
VPS13A	gene
VHL	gene
VEGFA	gene
VDR	gene
VCP	gene
VCL	gene
VAPB	gene
UPP1	gene
UNC13A	gene
UGT2B17	gene
UGT1A1	gene
UFD1	gene
UBQLN2	gene
UBE3A	gene
TYRP1	gene
TYMS	gene
TYK2	gene
TUBB2A	gene
TUBB	gene
TUBA4A	gene
TSPYL1	gene
TSC2	gene
TRPV1	gene
TRIM37	gene
TREM2	gene
TPM3	gene
TPH2	gene
TP63	gene
TP53	gene
TOP2A	gene
TNFSF12	gene
TNFRSF1B	gene
TNFRSF1A	gene
TNFRSF13B	gene
TNFRSF10A	gene
TNFAIP6	gene
TNF	gene
TMSB10	gene
TLR7	gene
TLR4	gene
THRB	gene
TH	gene
TGFBR2	gene
TGFB1	gene
TCF7L2	gene
TBX1	gene
TBL2	gene
TBK1	gene
TBCE	gene
TARDBP	gene
TACR1	gene
SYCP1	gene
STX16	gene
STS	gene
STRA6	gene
STK11	gene
STAT5A	gene
STAT4	gene
STAT3	gene
STAC	gene
ST6GAL1	gene
SQSTM1	gene
SPRY2	gene
SPP1	gene
SOD2	gene
SOD1	gene
SOCS2	gene
SNRPN	gene
SMPD1	gene
SMC3	gene
SMC1A	gene
SMARCC1	gene
SLCO2B1	gene
SLCO1B3	gene
SLCO1B1	gene
SLC8A1	gene
SLC7A5	gene
SLC6A8	gene
SLC6A4	gene
SLC6A3	gene
SLC6A1	gene
SLC4A1	gene
SLC3A1	gene
SLC38A3	gene
SLC35C1	gene
SLC35A1	gene
SLC2A3	gene
SLC25A1	gene
SLC22A6	gene
SLC15A2	gene
SLC15A1	gene
SIN3A	gene
SIM1	gene
SH2B1	gene
SGCG	gene
SFTPC	gene
SFTPB	gene
SETBP1	gene
SERPINE1	gene
SERPINA1	gene
SEMA3E	gene
SEMA3B	gene
SELENBP1	gene
SELE	gene
SEC24C	gene
SDHB	gene
SCN8A	gene
SCN5A	gene
SCN1B	gene
SCN1A	gene
SCGB1A1	gene
SAT1	gene
SAMD9	gene
RUNX3	gene
RUNX1	gene
RREB1	gene
ROBO1	gene
RNF125	gene
RMRP	gene
RGS1	gene
RFC2	gene
REST	gene
RASSF5	gene
RASSF1	gene
RARB	gene
RAMP2	gene
RAI1	gene
RAG2	gene
RAG1	gene
RAD21	gene
RAB32	gene
QPRT	gene
QPCT	gene
PYCARD	gene
PTPRD	gene
PTPN22	gene
PTPN2	gene
PTPN14	gene
PTPN11	gene
PTHLH	gene
PTH1R	gene
PTH	gene
PTGS2	gene
PTGS1	gene
PTEN	gene
PTAFR	gene
PRPH	gene
PRNP	gene
PRL	gene
PRKDC	gene
PRKD1	gene
PRKCG	gene
PRKCD	gene
PRKAR1A	gene
PREPL	gene
PRDX4	gene
PPM1B	gene
PPARGC1A	gene
PPARG	gene
PPARD	gene
PPARA	gene
POU6F2	gene
PON3	gene
PON2	gene
PON1	gene
POMC	gene
POLA2	gene
PNP	gene
PMS2	gene
PMS1	gene
PLTP	gene
PLG	gene
PLCE1	gene
PLAUR	gene
PLAU	gene
PLAT	gene
PINK1	gene
PIM1	gene
PIK3CA	gene
PIGT	gene
PHOX2B	gene
PHLDA1	gene
PHB	gene
PGR	gene
PGD	gene
PGAM1	gene
PFN1	gene
PF4	gene
PDGFRA	gene
PDGFA	gene
PDE4D	gene
PDE4C	gene
PDE4B	gene
PDE4A	gene
PCSK5	gene
PCNA	gene
PAX6	gene
PAWR	gene
PARP1	gene
PAH	gene
ORC6	gene
OPTN	gene
OPRM1	gene
OPRK1	gene
OPRD1	gene
OPHN1	gene
OGG1	gene
OFD1	gene
OCRL	gene
NUMA1	gene
NTRK2	gene
NTRK1	gene
NSUN2	gene
NRAS	gene
NR1I2	gene
NR1H4	gene
NOS3	gene
NOS2	gene
NNMT	gene
NNAT	gene
NME1	gene
NKX2-1	gene
NIPBL	gene
NINJ1	gene
NFKB2	gene
NFKB1	gene
NFE2L2	gene
NEFH	gene
NDUFB11	gene
NDN	gene
NCOA3	gene
NBN	gene
NAMPT	gene
MYLK	gene
MYD88	gene
MYCN	gene
MYC	gene
MXD1	gene
MUC2	gene
MTOR	gene
MT-ND6	gene
MT-ND5	gene
MT-ND4	gene
MT-ND1	gene
MT-CO3	gene
MT-CO2	gene
MT-CO1	gene
MSLN	gene
MSH6	gene
MSH3	gene
MSH2	gene
MS4A1	gene
MRPL3	gene
MRC1	gene
MPP1	gene
MPO	gene
MMP9	gene
MMP8	gene
MMP14	gene
MMP12	gene
MLXIPL	gene
MLH3	gene
MLH1	gene
MKRN3	gene
MKI67	gene
MGAM	gene
MEOX1	gene
MED12	gene
MATR3	gene
MARS	gene
MAPK10	gene
MAGEL2	gene
LYST	gene
LRBA	gene
LPL	gene
LMO1	gene
LMF1	gene
LIN28B	gene
LIMK1	gene
LIG4	gene
LDLRAP1	gene
LDLR	gene
LDHC	gene
LAMC2	gene
LAMB3	gene
LAMA3	gene
KRT8	gene
KRT6A	gene
KRT20	gene
KRAS	gene
KMT2C	gene
KMT2A	gene
KMO	gene
KLF2	gene
KIT	gene
KIF1B	gene
KDR	gene
KCNQ1	gene
KCNJ6	gene
KCNJ5	gene
KCNH7	gene
KCNH2	gene
KCNE3	gene
JAK3	gene
JAK2	gene
JAK1	gene
ITGB2	gene
ITGAM	gene
ISCU	gene
IRX3	gene
IRX2	gene
IRX1	gene
IRF5	gene
IPW	gene
IPCEF1	gene
INSR	gene
INS	gene
IL7R	gene
IL6ST	gene
IL6	gene
IL5RA	gene
IL5	gene
IL4	gene
IL32	gene
IL2RG	gene
IL2RB	gene
IL2RA	gene
IL21R	gene
IL2	gene
IL1RN	gene
IL1R2	gene
IL1R1	gene
IL1B	gene
IL1A	gene
IL18	gene
IL17A	gene
IL13	gene
IL10	gene
IKBKG	gene
IGSF6	gene
IGF2R	gene
IGF2	gene
IGF1R	gene
IGF1	gene
IFNG	gene
IFNA2	gene
IFI30	gene
ID3	gene
ICOS	gene
HTR7	gene
HTR6	gene
HTR2C	gene
HTR2B	gene
HTR2A	gene
HTR1A	gene
HSPD1	gene
HSPA8	gene
HSD11B1	gene
HRH4	gene
HRH1	gene
HRAS	gene
HOXA10	gene
HNRNPA1	gene
HMOX1	gene
HLA-DRB1	gene
HIRA	gene
HIF1A	gene
HGF	gene
HERC2	gene
HDC	gene
HCAR1	gene
HBB	gene
HARS	gene
HAL	gene
HACE1	gene
H19	gene
GTF2IRD1	gene
GTF2I	gene
GSTO1	gene
GRM8	gene
GRM7	gene
GRM5	gene
GRM1	gene
GRK2	gene
GRB7	gene
GPX3	gene
GPC4	gene
GPC3	gene
GP1BB	gene
GOSR2	gene
GNE	gene
GNAS	gene
GNAQ	gene
GNA11	gene
GMPR2	gene
GLIPR1	gene
GKN1	gene
GIT1	gene
GHRL	gene
GCM2	gene
GCKR	gene
GBA	gene
GATA4	gene
GAST	gene
GANC	gene
GANAB	gene
GAGE1	gene
GABRB3	gene
GABRA1	gene
GAA	gene
FYB1	gene
FUS	gene
FOXA2	gene
FMR1	gene
FLII	gene
FLI1	gene
FIG4	gene
FGL2	gene
FGF9	gene
FGD1	gene
FGA	gene
FFAR1	gene
FERMT1	gene
FCGR3B	gene
FBP1	gene
FAT4	gene
FAS	gene
FAN1	gene
FADS1	gene
F13A1	gene
ETS2	gene
ESS2	gene
ESR2	gene
ESR1	gene
ERBB4	gene
ERBB2	gene
EPHA4	gene
EPCAM	gene
ENO1	gene
ENG	gene
EMB	gene
ELN	gene
EGFR	gene
EGF	gene
EFEMP1	gene
EEF2	gene
DSC2	gene
DRD4	gene
DRD2	gene
DPP6	gene
DOCK8	gene
DNMT3B	gene
DNMT1	gene
DNM1	gene
DNAI1	gene
DIS3L2	gene
DHTKD1	gene
DHFR	gene
DHCR7	gene
DGCR8	gene
DGCR6	gene
DGCR2	gene
DGAT2	gene
DDR1	gene
DDC	gene
DCTN1	gene
DBH	gene
DAPK1	gene
DAO	gene
CYP7B1	gene
CYP2E1	gene
CYP2C19	gene
CYP2A6	gene
CYP26A1	gene
CYP1A1	gene
CYP19A1	gene
CYCS	gene
CXCR3	gene
CXCR2	gene
CXCL9	gene
CXCL8	gene
CXCL5	gene
CXCL2	gene
CXCL1	gene
CX3CL1	gene
CTSC	gene
CTNNB1	gene
CSF3	gene
CSF2RB	gene
CSF2	gene
CRLF1	gene
CRISPLD2	gene
CREM	gene
CR2	gene
COMT	gene
CNTN3	gene
CNR1	gene
CLIP2	gene
CLEC4E	gene
CLEC4D	gene
CKB	gene
CISH	gene
CIDEC	gene
CHRNB2	gene
CHRNA4	gene
CHRNA1	gene
CHRM3	gene
CHRM2	gene
CHRM1	gene
CHMP2B	gene
CHEK2	gene
CHD7	gene
CHD6	gene
CHD2	gene
CFD	gene
CFB	gene
CETP	gene
CEACAM1	gene
CDKN2A	gene
CDKN1C	gene
CDH1	gene
CD81	gene
CD40LG	gene
CD3D	gene
CD36	gene
CD247	gene
CD19	gene
CCR9	gene
CCR6	gene
CCR2	gene
CCR1	gene
CCND1	gene
CCN2	gene
CCL8	gene
CCL7	gene
CCL4	gene
CCL24	gene
CCL20	gene
CCL2	gene
CCL19	gene
CCL17	gene
CCL11	gene
CAV1	gene
CASR	gene
CASP8	gene
CASP3	gene
CASP1	gene
CAPN1	gene
CALM1	gene
CALCRL	gene
CACNA1B	gene
CA4	gene
CA3	gene
CA2	gene
CA14	gene
CA12	gene
CA1	gene
BUB1B	gene
BTK	gene
BST1	gene
BRCA2	gene
BMPR2	gene
BMP6	gene
BIRC5	gene
BCL2	gene
BCHE	gene
BAZ1B	gene
BARD1	gene
B4GALT7	gene
AZGP1	gene
AURKA	gene
ATXN2	gene
ATRX	gene
ATP4A	gene
ATP1A1	gene
ASRGL1	gene
ASIC3	gene
AS3MT	gene
ARVCF	gene
ARID1B	gene
ARID1A	gene
APOE	gene
APOB	gene
APOA5	gene
APOA1	gene
APC	gene
ANG	gene
ALOX5	gene
ALMS1	gene
ALK	gene
AKR1C2	gene
AHR	gene
AFF4	gene
ADRB2	gene
ADRA2C	gene
ADRA2B	gene
ADRA2A	gene
ADRA1D	gene
ADRA1B	gene
ADRA1A	gene
ADORA2A	gene
ADORA1	gene
ADGRL3	gene
ADGRE5	gene
ADA	gene
ACVRL1	gene
ACSL4	gene
ACSL3	gene
ACP5	gene
ACHE	gene
ACE	gene
ABL1	gene
ABCG8	gene
ABCG5	gene
ABCF1	gene
ABCD1	gene
ABCC2	gene
ABCB1	gene
ABCA6	gene
A2M	gene
9900	gene
8651	gene
7248	gene
7015	gene
6338	gene
6337	gene
5731	gene
4233	gene
2903	gene
2566	gene
1816	gene